"Código técnico";"Formulario REM";Sección;Columna;"Nombre funcional de la variable";"Tipo de regla";Descripción;"Lógica resumida";"Fórmula Excel (técnico)";"Rango de filas";"Nivel de importancia";Estado;Fuente;"Observación para revisión";"Validado por Estadística";"Comentario Estadística"
a19b_a_o_sum_equals;A19b;A;O;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas O sea igual al total de la columna O (Filas 12–51). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(O) = Columna O";;"Filas 12–51";Error;Activa;"Estructura Excel";;;
a19b_a_p_sum_equals;A19b;A;P;PRAIS;"Suma igual al Total";"Valida que la suma de las columnas P sea igual al total de la columna P (Filas 12–51). Variable: PRAIS. De lo contrario, se marca como observación.";"Suma(P) = Columna P";;"Filas 12–51";Error;Activa;"Estructura Excel";;;
a19b_b.1_b_sum_equals;A19b;B.1;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas C + D + E + F + G + H + I + J + K + L sea igual al total de la columna B (Fila 62). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(C + D + E + F + G + H + I + J + K + L) = Columna B";;"Fila 62";Error;Activa;"Estructura Excel";;;
a19b_b.1_m_sum_equals;A19b;B.1;M;"Uso de TICS y/o Redes Sociales";"Suma igual al Total";"Valida que la suma de las columnas M sea igual al total de la columna M (Filas 62–73). Variable: Uso de TICS y/o Redes Sociales. De lo contrario, se marca como observación.";"Suma(M) = Columna M";;"Filas 62–73";Error;Activa;"Estructura Excel";;;
a19b_b.2_b_sum_equals;A19b;B.2;B;"N° DE SESIONES";"Suma igual al Total";"Valida que la suma de las columnas B sea igual al total de la columna B (Filas 78–91). Variable: N° DE SESIONES. De lo contrario, se marca como observación.";"Suma(B) = Columna B";;"Filas 78–91";Error;Activa;"Estructura Excel";;;
a19b_c.1_b_sum_equals;A19b;C.1;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas C + D + E + F + G + H + I sea igual al total de la columna B (Fila 97). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(C + D + E + F + G + H + I) = Columna B";;"Fila 97";Error;Activa;"Estructura Excel";;;
a19b_c.1_c_sum_equals;A19b;C.1;C;"Comités Gestión Usuaria: Análisis de reclamos";"Suma igual al Total";"Valida que la suma de las columnas C sea igual al total de la columna C (Filas 97–108). Variable: Comités Gestión Usuaria: Análisis de reclamos. De lo contrario, se marca como observación.";"Suma(C) = Columna C";;"Filas 97–108";Error;Activa;"Estructura Excel";;;
a19b_c.1_d_sum_equals;A19b;C.1;D;"Comités Gestión Usuaria: Planes de mejora";"Suma igual al Total";"Valida que la suma de las columnas D sea igual al total de la columna D (Filas 97–108). Variable: Comités Gestión Usuaria: Planes de mejora. De lo contrario, se marca como observación.";"Suma(D) = Columna D";;"Filas 97–108";Error;Activa;"Estructura Excel";;;
a19b_c.1_e_sum_equals;A19b;C.1;E;"Medición de Satisfacción Usuaria";"Suma igual al Total";"Valida que la suma de las columnas E sea igual al total de la columna E (Filas 97–108). Variable: Medición de Satisfacción Usuaria. De lo contrario, se marca como observación.";"Suma(E) = Columna E";;"Filas 97–108";Error;Activa;"Estructura Excel";;;
a19b_c.1_f_sum_equals;A19b;C.1;F;"Acompañamiento Espiritual";"Suma igual al Total";"Valida que la suma de las columnas F sea igual al total de la columna F (Filas 97–108). Variable: Acompañamiento Espiritual. De lo contrario, se marca como observación.";"Suma(F) = Columna F";;"Filas 97–108";Error;Activa;"Estructura Excel";;;
a19b_c.1_g_sum_equals;A19b;C.1;G;"Asistencia Religiosa";"Suma igual al Total";"Valida que la suma de las columnas G sea igual al total de la columna G (Filas 97–108). Variable: Asistencia Religiosa. De lo contrario, se marca como observación.";"Suma(G) = Columna G";;"Filas 97–108";Error;Activa;"Estructura Excel";;;
a19b_c.1_h_sum_equals;A19b;C.1;H;"Asistencia Espiritual Indígena";"Suma igual al Total";"Valida que la suma de las columnas H sea igual al total de la columna H (Filas 97–108). Variable: Asistencia Espiritual Indígena. De lo contrario, se marca como observación.";"Suma(H) = Columna H";;"Filas 97–108";Error;Activa;"Estructura Excel";;;
a19b_c.1_i_sum_equals;A19b;C.1;I;"Hospital Amigo";"Suma igual al Total";"Valida que la suma de las columnas I sea igual al total de la columna I (Filas 97–108). Variable: Hospital Amigo. De lo contrario, se marca como observación.";"Suma(I) = Columna I";;"Filas 97–108";Error;Activa;"Estructura Excel";;;
a19b_c.1_j_sum_equals;A19b;C.1;J;"Uso de TICS y/o Redes Sociales";"Suma igual al Total";"Valida que la suma de las columnas J sea igual al total de la columna J (Filas 97–108). Variable: Uso de TICS y/o Redes Sociales. De lo contrario, se marca como observación.";"Suma(J) = Columna J";;"Filas 97–108";Error;Activa;"Estructura Excel";;;
a19b_c.2_b_sum_equals;A19b;C.2;B;"N° DE SESIONES";"Suma igual al Total";"Valida que la suma de las columnas B sea igual al total de la columna B (Filas 113–122). Variable: N° DE SESIONES. De lo contrario, se marca como observación.";"Suma(B) = Columna B";;"Filas 113–122";Error;Activa;"Estructura Excel";;;
a21_a_b_sum_equals;A21;A;B;"Número de Quirófanos en Dotación";"Suma igual al Total";"Valida que la suma de las columnas B sea igual al total de la columna B (Filas 14–17). Variable: Número de Quirófanos en Dotación. De lo contrario, se marca como observación.";"Suma(B) = Columna B";;"Filas 14–17";Error;Activa;"Estructura Excel";;;
a21_a_c_sum_equals;A21;A;C;"Promedio Mensual de Quirófanos Habilitados";"Suma igual al Total";"Valida que la suma de las columnas C sea igual al total de la columna C (Filas 14–17). Variable: Promedio Mensual de Quirófanos Habilitados. De lo contrario, se marca como observación.";"Suma(C) = Columna C";;"Filas 14–17";Error;Activa;"Estructura Excel";;;
a21_a_d_sum_equals;A21;A;D;"Promedio Mensual de Quirófanos en Trabajo";"Suma igual al Total";"Valida que la suma de las columnas D sea igual al total de la columna D (Filas 14–17). Variable: Promedio Mensual de Quirófanos en Trabajo. De lo contrario, se marca como observación.";"Suma(D) = Columna D";;"Filas 14–17";Error;Activa;"Estructura Excel";;;
a21_a_e_sum_equals;A21;A;E;"Total de Horas Mensuales de Quirófanos Habilitados (Horario Hábil)";"Suma igual al Total";"Valida que la suma de las columnas E sea igual al total de la columna E (Filas 14–17). Variable: Total de Horas Mensuales de Quirófanos Habilitados (Horario Hábil). De lo contrario, se marca como observación.";"Suma(E) = Columna E";;"Filas 14–17";Error;Activa;"Estructura Excel";;;
a21_a_f_sum_equals;A21;A;F;"Total de Horas Mensuales de Quirófanos en Trabajo (Horario Hábil)";"Suma igual al Total";"Valida que la suma de las columnas F sea igual al total de la columna F (Filas 14–17). Variable: Total de Horas Mensuales de Quirófanos en Trabajo (Horario Hábil). De lo contrario, se marca como observación.";"Suma(F) = Columna F";;"Filas 14–17";Error;Activa;"Estructura Excel";;;
a21_b_b_sum_equals;A21;B;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas C + D + E + F sea igual al total de la columna B (Fila 21). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(C + D + E + F) = Columna B";;"Fila 21";Error;Activa;"Estructura Excel";;;
a21_c.1.1_c_sum_equals;A21;C.1.1;C;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas D + E + F + G sea igual al total de la columna C (Fila 31). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(D + E + F + G) = Columna C";;"Fila 31";Error;Activa;"Estructura Excel";;;
a21_c.1.3_b_sum_equals;A21;C.1.3;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas C + E sea igual al total de la columna B. Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(C + E) = Columna B";;—;Error;Activa;"Estructura Excel";;;
a21_c.2.1_b_sum_equals;A21;C.2.1;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas C + D + E sea igual al total de la columna B (Fila 57). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(C + D + E) = Columna B";;"Fila 57";Error;Activa;"Estructura Excel";;;
a21_c.2.2_e_sum_equals;A21;C.2.2;E;"Número de egresos";"Suma igual al Total";"Valida que la suma de las columnas E sea igual al total de la columna E (Filas 63–68). Variable: Número de egresos. De lo contrario, se marca como observación.";"Suma(E) = Columna E";;"Filas 63–68";Error;Activa;"Estructura Excel";;;
a21_c.2.2_f_sum_equals;A21;C.2.2;F;"Número de personas activas";"Suma igual al Total";"Valida que la suma de las columnas F sea igual al total de la columna F (Filas 63–68). Variable: Número de personas activas. De lo contrario, se marca como observación.";"Suma(F) = Columna F";;"Filas 63–68";Error;Activa;"Estructura Excel";;;
a21_c.2.2_g_sum_equals;A21;C.2.2;G;"Número de controles médicos";"Suma igual al Total";"Valida que la suma de las columnas G sea igual al total de la columna G (Filas 63–68). Variable: Número de controles médicos. De lo contrario, se marca como observación.";"Suma(G) = Columna G";;"Filas 63–68";Error;Activa;"Estructura Excel";;;
a21_d_c_sum_equals;A21;D;C;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas D + E + F + G + H + I sea igual al total de la columna C (Fila 80). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(D + E + F + G + H + I) = Columna C";;"Fila 80";Error;Activa;"Estructura Excel";;;
a21_g_b_sum_equals;A21;G;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas C + D + E sea igual al total de la columna B (Fila 118). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(C + D + E) = Columna B";;"Fila 118";Error;Activa;"Estructura Excel";;;
a21_h_b_sum_equals;A21;H;B;"Número de Quirófanos en Dotación";"Suma igual al Total";"Valida que la suma de las columnas B sea igual al total de la columna B (Filas 123–124). Variable: Número de Quirófanos en Dotación. De lo contrario, se marca como observación.";"Suma(B) = Columna B";;"Filas 123–124";Error;Activa;"Estructura Excel";;;
a21_h_c_sum_equals;A21;H;C;"Horas Mensuales de Quirófanos Programadas   en Horario Hábil";"Suma igual al Total";"Valida que la suma de las columnas C sea igual al total de la columna C (Filas 123–124). Variable: Horas Mensuales de Quirófanos Programadas   en Horario Hábil. De lo contrario, se marca como observación.";"Suma(C) = Columna C";;"Filas 123–124";Error;Activa;"Estructura Excel";;;
a21_h_d_sum_equals;A21;H;D;"Horas Mensuales de Quirófanos Programadas   en   Horario Inhábil de Lunes a Viernes";"Suma igual al Total";"Valida que la suma de las columnas D sea igual al total de la columna D (Filas 123–124). Variable: Horas Mensuales de Quirófanos Programadas   en   Horario Inhábil de Lunes a Viernes. De lo contrario, se marca como observación.";"Suma(D) = Columna D";;"Filas 123–124";Error;Activa;"Estructura Excel";;;
a21_h_e_sum_equals;A21;H;E;"Horas Mensuales Programadas    Sabado, Domingo, Festivo.";"Suma igual al Total";"Valida que la suma de las columnas E sea igual al total de la columna E (Filas 123–124). Variable: Horas Mensuales Programadas    Sabado, Domingo, Festivo.. De lo contrario, se marca como observación.";"Suma(E) = Columna E";;"Filas 123–124";Error;Activa;"Estructura Excel";;;
a21_h_f_sum_equals;A21;H;F;"Horas Mensuales de Quirófanos Ocupadas   en Horario Hábil";"Suma igual al Total";"Valida que la suma de las columnas F sea igual al total de la columna F (Filas 123–124). Variable: Horas Mensuales de Quirófanos Ocupadas   en Horario Hábil. De lo contrario, se marca como observación.";"Suma(F) = Columna F";;"Filas 123–124";Error;Activa;"Estructura Excel";;;
a21_h_g_sum_equals;A21;H;G;"Horas Mensuales de Quirófanos Ocupadas   en   Horario Inhábil de Lunes a Viernes";"Suma igual al Total";"Valida que la suma de las columnas G sea igual al total de la columna G (Filas 123–124). Variable: Horas Mensuales de Quirófanos Ocupadas   en   Horario Inhábil de Lunes a Viernes. De lo contrario, se marca como observación.";"Suma(G) = Columna G";;"Filas 123–124";Error;Activa;"Estructura Excel";;;
a21_h_h_sum_equals;A21;H;H;"Horas Mensuales Ocupadas Sabado, Domingo, Festivo.";"Suma igual al Total";"Valida que la suma de las columnas H sea igual al total de la columna H (Filas 123–124). Variable: Horas Mensuales Ocupadas Sabado, Domingo, Festivo.. De lo contrario, se marca como observación.";"Suma(H) = Columna H";;"Filas 123–124";Error;Activa;"Estructura Excel";;;
a21_i_b_sum_equals;A21;I;B;"Personas menor de 15 años Intervenidas  en Horario Hábil";"Suma igual al Total";"Valida que la suma de las columnas B sea igual al total de la columna B (Filas 127–138). Variable: Personas menor de 15 años Intervenidas  en Horario Hábil. De lo contrario, se marca como observación.";"Suma(B) = Columna B";;"Filas 127–138";Error;Activa;"Estructura Excel";;;
a21_i_c_sum_equals;A21;I;C;"Personas mayores de  15 años y más Intervenidas en Horario Hábil";"Suma igual al Total";"Valida que la suma de las columnas C sea igual al total de la columna C (Filas 127–138). Variable: Personas mayores de  15 años y más Intervenidas en Horario Hábil. De lo contrario, se marca como observación.";"Suma(C) = Columna C";;"Filas 127–138";Error;Activa;"Estructura Excel";;;
a21_i_d_sum_equals;A21;I;D;"Personas Programadas  Horario Hábil";"Suma igual al Total";"Valida que la suma de las columnas D sea igual al total de la columna D (Filas 127–138). Variable: Personas Programadas  Horario Hábil. De lo contrario, se marca como observación.";"Suma(D) = Columna D";;"Filas 127–138";Error;Activa;"Estructura Excel";;;
a21_i_e_sum_equals;A21;I;E;"Personas Suspendidas Horario Hábil";"Suma igual al Total";"Valida que la suma de las columnas E sea igual al total de la columna E (Filas 127–138). Variable: Personas Suspendidas Horario Hábil. De lo contrario, se marca como observación.";"Suma(E) = Columna E";;"Filas 127–138";Error;Activa;"Estructura Excel";;;
a21_i_f_sum_equals;A21;I;F;"Personas Programadas  horario Inhábil de Lunes a Viernes";"Suma igual al Total";"Valida que la suma de las columnas F sea igual al total de la columna F (Filas 127–138). Variable: Personas Programadas  horario Inhábil de Lunes a Viernes. De lo contrario, se marca como observación.";"Suma(F) = Columna F";;"Filas 127–138";Error;Activa;"Estructura Excel";;;
a21_i_g_sum_equals;A21;I;G;"Personas Suspendidas horario Inhábil de Lunes a Viernes";"Suma igual al Total";"Valida que la suma de las columnas G sea igual al total de la columna G (Filas 127–138). Variable: Personas Suspendidas horario Inhábil de Lunes a Viernes. De lo contrario, se marca como observación.";"Suma(G) = Columna G";;"Filas 127–138";Error;Activa;"Estructura Excel";;;
a21_i_h_sum_equals;A21;I;H;"Personas Programadas  Sábado, Domingo y Festivo";"Suma igual al Total";"Valida que la suma de las columnas H sea igual al total de la columna H (Filas 127–138). Variable: Personas Programadas  Sábado, Domingo y Festivo. De lo contrario, se marca como observación.";"Suma(H) = Columna H";;"Filas 127–138";Error;Activa;"Estructura Excel";;;
a21_i_i_sum_equals;A21;I;I;"Personas Suspendidas Sábado, Domingo y Festivo";"Suma igual al Total";"Valida que la suma de las columnas I sea igual al total de la columna I (Filas 127–138). Variable: Personas Suspendidas Sábado, Domingo y Festivo. De lo contrario, se marca como observación.";"Suma(I) = Columna I";;"Filas 127–138";Error;Activa;"Estructura Excel";;;
a21_j_b_sum_equals;A21;J;B;"TOTAL
 (Ambos sexos)";"Suma igual al Total";"Valida que la suma de las columnas C + D + E + F sea igual al total de la columna B (Fila 143). Variable: TOTAL
 (Ambos sexos). De lo contrario, se marca como observación.";"Suma(C + D + E + F) = Columna B";;"Fila 143";Error;Activa;"Estructura Excel";;;
a21_j_g_sum_equals;A21;J;G;"Personas Atendidas";"Suma igual al Total";"Valida que la suma de las columnas G sea igual al total de la columna G (Filas 143–151). Variable: Personas Atendidas. De lo contrario, se marca como observación.";"Suma(G) = Columna G";;"Filas 143–151";Error;Activa;"Estructura Excel";;;
a21_j_h_sum_equals;A21;J;H;Ingresos;"Suma igual al Total";"Valida que la suma de las columnas H sea igual al total de la columna H (Filas 143–151). Variable: Ingresos. De lo contrario, se marca como observación.";"Suma(H) = Columna H";;"Filas 143–151";Error;Activa;"Estructura Excel";;;
a23_a_ao_sum_equals;A23;A;AO;"Pueblos Originarios";"Suma igual al Total";"Valida que la suma de las columnas AO sea igual al total de la columna AO (Filas 12–22). Variable: Pueblos Originarios. De lo contrario, se marca como observación.";"Suma(AO) = Columna AO";;"Filas 12–22";Error;Activa;"Estructura Excel";;;
a23_a_ap_sum_equals;A23;A;AP;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas AP sea igual al total de la columna AP (Filas 12–22). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(AP) = Columna AP";;"Filas 12–22";Error;Activa;"Estructura Excel";;;
a23_a_aq_sum_equals;A23;A;AQ;"Por Campaña de Invierno";"Suma igual al Total";"Valida que la suma de las columnas AQ sea igual al total de la columna AQ (Filas 12–22). Variable: Por Campaña de Invierno. De lo contrario, se marca como observación.";"Suma(AQ) = Columna AQ";;"Filas 12–22";Error;Activa;"Estructura Excel";;;
a23_b_ap_sum_equals;A23;B;AP;Reingresos;"Suma igual al Total";"Valida que la suma de las columnas AP sea igual al total de la columna AP (Filas 28–40). Variable: Reingresos. De lo contrario, se marca como observación.";"Suma(AP) = Columna AP";;"Filas 28–40";Error;Activa;"Estructura Excel";;;
a23_b_aq_sum_equals;A23;B;AQ;"Pueblos Originarios";"Suma igual al Total";"Valida que la suma de las columnas AQ sea igual al total de la columna AQ (Filas 28–40). Variable: Pueblos Originarios. De lo contrario, se marca como observación.";"Suma(AQ) = Columna AQ";;"Filas 28–40";Error;Activa;"Estructura Excel";;;
a23_b_ar_sum_equals;A23;B;AR;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas AR sea igual al total de la columna AR (Filas 28–40). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(AR) = Columna AR";;"Filas 28–40";Error;Activa;"Estructura Excel";;;
a23_e_ao_sum_equals;A23;E;AO;Beneficiarios;"Suma igual al Total";"Valida que la suma de las columnas AO sea igual al total de la columna AO (Filas 63–65). Variable: Beneficiarios. De lo contrario, se marca como observación.";"Suma(AO) = Columna AO";;"Filas 63–65";Error;Activa;"Estructura Excel";;;
a23_f_ao_sum_equals;A23;F;AO;Beneficiarios;"Suma igual al Total";"Valida que la suma de las columnas AO sea igual al total de la columna AO (Filas 71–72). Variable: Beneficiarios. De lo contrario, se marca como observación.";"Suma(AO) = Columna AO";;"Filas 71–72";Error;Activa;"Estructura Excel";;;
a23_f_ap_sum_equals;A23;F;AP;"Por Campaña de Invierno";"Suma igual al Total";"Valida que la suma de las columnas AP sea igual al total de la columna AP (Filas 71–72). Variable: Por Campaña de Invierno. De lo contrario, se marca como observación.";"Suma(AP) = Columna AP";;"Filas 71–72";Error;Activa;"Estructura Excel";;;
a23_h_c_sum_equals;A23;H;C;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas D + E sea igual al total de la columna C. Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(D + E) = Columna C";;—;Error;Activa;"Estructura Excel";;;
a23_h_d_sum_equals;A23;H;D;"Menor de 20 años";"Suma igual al Total";"Valida que la suma de las columnas D sea igual al total de la columna D (Filas 87–89). Variable: Menor de 20 años. De lo contrario, se marca como observación.";"Suma(D) = Columna D";;"Filas 87–89";Error;Activa;"Estructura Excel";;;
a23_h_e_sum_equals;A23;H;E;"De 20 años y más";"Suma igual al Total";"Valida que la suma de las columnas E sea igual al total de la columna E (Filas 87–89). Variable: De 20 años y más. De lo contrario, se marca como observación.";"Suma(E) = Columna E";;"Filas 87–89";Error;Activa;"Estructura Excel";;;
a23_l_ao_sum_equals;A23;L;AO;"Por Campaña de Invierno";"Suma igual al Total";"Valida que la suma de las columnas AO sea igual al total de la columna AO (Filas 124–129). Variable: Por Campaña de Invierno. De lo contrario, se marca como observación.";"Suma(AO) = Columna AO";;"Filas 124–129";Error;Activa;"Estructura Excel";;;
a23_m.2_c_sum_equals;A23;M.2;C;"Nº Sesiones";"Suma igual al Total";"Valida que la suma de las columnas C sea igual al total de la columna C (Filas 145–152). Variable: Nº Sesiones. De lo contrario, se marca como observación.";"Suma(C) = Columna C";;"Filas 145–152";Error;Activa;"Estructura Excel";;;
a23_m.2_d_sum_equals;A23;M.2;D;"Nº Participantes";"Suma igual al Total";"Valida que la suma de las columnas D sea igual al total de la columna D (Filas 145–152). Variable: Nº Participantes. De lo contrario, se marca como observación.";"Suma(D) = Columna D";;"Filas 145–152";Error;Activa;"Estructura Excel";;;
a23_o_c_sum_equals;A23;O;C;"TOTAL DE ACTIVIDADES";"Suma igual al Total";"Valida que la suma de las columnas D + E + F + G sea igual al total de la columna C (Fila 165). Variable: TOTAL DE ACTIVIDADES. De lo contrario, se marca como observación.";"Suma(D + E + F + G) = Columna C";;"Fila 165";Error;Activa;"Estructura Excel";;;
a23_q_b_sum_equals;A23;Q;B;DIAGNÓSTICO;"Suma igual al Total";"Valida que la suma de las columnas CF + CG + CH sea igual al total de la columna B (Filas 12–129). Variable: DIAGNÓSTICO. De lo contrario, se marca como observación.";"Suma(CF + CG + CH) = Columna B";;"Filas 12–129";Error;Activa;"Estructura Excel";;;
a24_a.1_c_sum_equals;A24;A.1;C;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas D + E + F sea igual al total de la columna C (Fila 26). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(D + E + F) = Columna C";;"Fila 26";Error;Activa;"Estructura Excel";;;
a24_c_c_sum_equals;A24;C;C;"Post Aborto";"Suma igual al Total";"Valida que la suma de las columnas C sea igual al total de la columna C (Filas 92–103). Variable: Post Aborto. De lo contrario, se marca como observación.";"Suma(C) = Columna C";;"Filas 92–103";Error;Activa;"Estructura Excel";;;
a24_c_e_sum_equals;A24;C;E;"Post Parto";"Suma igual al Total";"Valida que la suma de las columnas E sea igual al total de la columna E (Filas 92–103). Variable: Post Parto. De lo contrario, se marca como observación.";"Suma(E) = Columna E";;"Filas 92–103";Error;Activa;"Estructura Excel";;;
a24_c_f_sum_equals;A24;C;F;"Post IVE";"Suma igual al Total";"Valida que la suma de las columnas F sea igual al total de la columna F (Filas 92–103). Variable: Post IVE. De lo contrario, se marca como observación.";"Suma(F) = Columna F";;"Filas 92–103";Error;Activa;"Estructura Excel";;;
a24_d.1_c_sum_equals;A24;D.1;C;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas D + E + F + G + H + I + J + K sea igual al total de la columna C (Fila 109). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(D + E + F + G + H + I + J + K) = Columna C";;"Fila 109";Error;Activa;"Estructura Excel";;;
a24_d.3_b_sum_equals;A24;D.3;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas C sea igual al total de la columna B. Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(C) = Columna B";;—;Error;Activa;"Estructura Excel";;;
a24_g_b_sum_equals;A24;G;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas C + D + E + F + G + H + I + J + K sea igual al total de la columna B (Fila 144). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(C + D + E + F + G + H + I + J + K) = Columna B";;"Fila 144";Error;Activa;"Estructura Excel";;;
a24_h.3_b_sum_equals;A24;H.3;B;"Recien Nacidos Tamizados";"Suma igual al Total";"Valida que la suma de las columnas CI + CJ + CK + CL + CM sea igual al total de la columna B (Filas 13–158). Variable: Recien Nacidos Tamizados. De lo contrario, se marca como observación.";"Suma(CI + CJ + CK + CL + CM) = Columna B";;"Filas 13–158";Error;Activa;"Estructura Excel";;;
a25_a.3_e_sum_equals;A25;A.3;E;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas F + G sea igual al total de la columna E (Fila 31). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(F + G) = Columna E";;"Fila 31";Error;Activa;"Estructura Excel";;;
a25_b_b_sum_equals;A25;B;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas B sea igual al total de la columna B. Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(B) = Columna B";;—;Error;Activa;"Estructura Excel";;;
a25_c.1_c_sum_equals;A25;C.1;C;"Globulos Rojos*";"Suma igual al Total";"Valida que la suma de las columnas C sea igual al total de la columna C (Filas 85–89). Variable: Globulos Rojos*. De lo contrario, se marca como observación.";"Suma(C) = Columna C";;"Filas 85–89";Error;Activa;"Estructura Excel";;;
a25_c.1_d_sum_equals;A25;C.1;D;Plasmas*;"Suma igual al Total";"Valida que la suma de las columnas D sea igual al total de la columna D (Filas 85–89). Variable: Plasmas*. De lo contrario, se marca como observación.";"Suma(D) = Columna D";;"Filas 85–89";Error;Activa;"Estructura Excel";;;
a25_c.1_h_sum_equals;A25;C.1;H;Crioprecipitados;"Suma igual al Total";"Valida que la suma de las columnas H sea igual al total de la columna H (Filas 85–89). Variable: Crioprecipitados. De lo contrario, se marca como observación.";"Suma(H) = Columna H";;"Filas 85–89";Error;Activa;"Estructura Excel";;;
a25_c.2_c_sum_equals;A25;C.2;C;"Globulos Rojos*";"Suma igual al Total";"Valida que la suma de las columnas C sea igual al total de la columna C (Filas 95–99). Variable: Globulos Rojos*. De lo contrario, se marca como observación.";"Suma(C) = Columna C";;"Filas 95–99";Error;Activa;"Estructura Excel";;;
a25_c.2_d_sum_equals;A25;C.2;D;Plasmas*;"Suma igual al Total";"Valida que la suma de las columnas D sea igual al total de la columna D (Filas 95–99). Variable: Plasmas*. De lo contrario, se marca como observación.";"Suma(D) = Columna D";;"Filas 95–99";Error;Activa;"Estructura Excel";;;
a25_c.2_h_sum_equals;A25;C.2;H;Crioprecipitados;"Suma igual al Total";"Valida que la suma de las columnas H sea igual al total de la columna H (Filas 95–99). Variable: Crioprecipitados. De lo contrario, se marca como observación.";"Suma(H) = Columna H";;"Filas 95–99";Error;Activa;"Estructura Excel";;;
a25_c.3_c_sum_equals;A25;C.3;C;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas D + E + F + G + H + I sea igual al total de la columna C (Fila 104). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(D + E + F + G + H + I) = Columna C";;"Fila 104";Error;Activa;"Estructura Excel";;;
a25_c.4_c_sum_equals;A25;C.4;C;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas D + E + F + G + H + I sea igual al total de la columna C (Fila 113). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(D + E + F + G + H + I) = Columna C";;"Fila 113";Error;Activa;"Estructura Excel";;;
a25_f_f_sum_equals;A25;F;F;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas G + H + I sea igual al total de la columna F (Fila 160). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(G + H + I) = Columna F";;"Fila 160";Error;Activa;"Estructura Excel";;;
a25_f_g_sum_equals;A25;F;G;"Glóbulos rojos";"Suma igual al Total";"Valida que la suma de las columnas G sea igual al total de la columna G (Filas 160–184). Variable: Glóbulos rojos. De lo contrario, se marca como observación.";"Suma(G) = Columna G";;"Filas 160–184";Error;Activa;"Estructura Excel";;;
a25_f_h_sum_equals;A25;F;H;Plasma;"Suma igual al Total";"Valida que la suma de las columnas H sea igual al total de la columna H (Filas 160–184). Variable: Plasma. De lo contrario, se marca como observación.";"Suma(H) = Columna H";;"Filas 160–184";Error;Activa;"Estructura Excel";;;
a25_f_i_sum_equals;A25;F;I;Plaquetas;"Suma igual al Total";"Valida que la suma de las columnas I sea igual al total de la columna I (Filas 160–184). Variable: Plaquetas. De lo contrario, se marca como observación.";"Suma(I) = Columna I";;"Filas 160–184";Error;Activa;"Estructura Excel";;;
a25_g.3_c_sum_equals;A25;G.3;C;Donantes;"Suma igual al Total";"Valida que la suma de las columnas C sea igual al total de la columna C (Filas 209–233). Variable: Donantes. De lo contrario, se marca como observación.";"Suma(C) = Columna C";;"Filas 209–233";Error;Activa;"Estructura Excel";;;
a25_g.3_d_sum_equals;A25;G.3;D;Pacientes;"Suma igual al Total";"Valida que la suma de las columnas D sea igual al total de la columna D (Filas 209–233). Variable: Pacientes. De lo contrario, se marca como observación.";"Suma(D) = Columna D";;"Filas 209–233";Error;Activa;"Estructura Excel";;;
